Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,66.7,66.8,67,66.9,..
Equatorial Guinea,GNQ,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.4,52.5,53.4,54.4,..
Eritrea,ERI,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Estonia,EST,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,90.4197250146097,90.4178455760304,90.4208196673259,..,..
Eswatini,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,80,82.9,82.3,86.4,..
Eswatini,SWZ,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.1,54.2,55.4,55.4,..
Ethiopia,ETH,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,6.92545787732248,7.1554230690765,7.21980171410408,..,..
Faroe Islands,FRO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Faroe Islands,FRO,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.1,92.1,92,99.3,..
Fiji,FJI,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,49.2388904654098,49.0160619455164,48.7940401971456,..,..
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Finland,FIN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,89.6895605037132,89.8499364694327,90.0103113520342,..,..
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
France,FRA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,89.5200694726426,89.5929420805534,89.6653814027227,..,..
French Polynesia,PYF,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
French Polynesia,PYF,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.1,91.8,93.5,94.1,..
Gabon,GAB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.2,63.7,65.4,66.9,..
"Gambia, The",GMB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,29.2691264463876,28.6339876113019,27.9860575932316,..,..
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Georgia,GEO,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,25.1174282594999,24.5525075082387,24.0778528235398,..,..
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Germany,DEU,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,96.8760471917282,96.8824891248943,96.8898488990896,..,..
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.4,86.3,85.1,89.5,..
Ghana,GHA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,14.6747376866605,15.2558496868417,15.8341019141447,..,..
Gibraltar,GIB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Gibraltar,GIB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Greece,GRC,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,91.3429777542093,92.076235052132,92.1603580656102,..,..
Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Greenland,GRL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,0,0,0,..,..
Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.4,93.7,94.2,94.4,..
Grenada,GRD,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Guam,GUM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Guam,GUM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.6,97.9,99.1,100,..
Guatemala,GTM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.7,46.8,47.7,51.1,..
Guinea,GIN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.4,35.8,37.4,40.5,..
Guinea-Bissau,GNB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,14.5990344949132,15.3986439321464,15.4435747757048,..,..
Guyana,GUY,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.3,92.9,93,98.9,..
Guyana,GUY,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,45.3023129201103,44.7622434191018,44.219518015966,..,..
Haiti,HTI,Access to electricity (% of population),EG.ELC.ACCS.ZS,46.3,47.2,49.3,51.3,..
Haiti,HTI,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Honduras,HND,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.1,94.1,94.4,95.6,..
Honduras,HND,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,52.0556772548207,52.3228000726386,52.6060558822293,..,..
"Hong Kong SAR, China",HKG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
"Hong Kong SAR, China",HKG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,93.0238750002439,95.6008898497625,96.5041739894552,..,..
Hungary,HUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Hungary,HUN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,87.7804887065933,87.8103683578271,87.8406452689023,..,..
Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Iceland,ISL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.5,99.6,99.2,99.5,..
India,IND,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,47.899597680964,50.0241473021147,52.1399330966461,..,..
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,97,99.2,100,99.4,..
Indonesia,IDN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
"Iran, Islamic Rep.",IRN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Iraq,IRQ,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,51.3663258947554,52.0642904775361,52.7652499043503,..,..
Ireland,IRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Ireland,IRL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,79.5927269236606,79.7848772549725,79.7967984554687,..,..
Isle of Man,IMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Isle of Man,IMN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,84.8214285714286,84.8214285714286,84.8214285714286,..,..
Israel,ISR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Israel,ISR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,94.7442026231493,95.4971484657731,96.252787006842,..,..
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Italy,ITA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,79.0230000842319,79.0270957158613,79.0312466274538,..,..
Jamaica,JAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,100,100,97.7,..
Jamaica,JAM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Japan,JPN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,99.0348902448229,99.0887034789059,99.1407564757284,..,..
Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,99.9,100,100,..
Jordan,JOR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,82.2316252388244,82.2842746863013,82.3351482853254,..,..
Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Kazakhstan,KAZ,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.5,76.5,76,76.2,..
Kenya,KEN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,30.8734898711295,31.1860993491572,31.4989037324592,..,..
Kiribati,KIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,91,92.8,94.4,95.9,..
Kiribati,KIR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,24.3214413606617,24.4635095401563,24.7923100220831,..,..
"Korea, Dem. People's Rep.",PRK,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.5,52.6,54.7,57.5,..
"Korea, Dem. People's Rep.",PRK,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
"Korea, Rep.",KOR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,99.4794539840494,99.4632555474268,99.4474601606906,..,..
Kosovo,XKX,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..
Kosovo,XKX,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Kuwait,KWT,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,100,100,100,..,..
Kyrgyz Republic,KGZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,99.7,99.7,100,..
Kyrgyz Republic,KGZ,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,92.5146481029674,92.5759315385343,92.6360987515894,..,..
Lao PDR,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.3,100,100,96.5,..
Lao PDR,LAO,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,61.0814182576596,61.1043629857556,61.1274469834962,..,..
Latvia,LVA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Latvia,LVA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,84.676638852621,85.2433985471785,..,..,..
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Lebanon,LBN,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,25.9733294191864,25.6726802158649,25.6726802158649,..,..
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.5,50.4,50,57.3,..
Lesotho,LSO,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,47.6216862552814,47.5696002557396,47.5162459850152,..,..
Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,27.6,29.8,31.8,32.5,..
Liberia,LBR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.4,70.2,70,73.2,..
Libya,LBY,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,23.8305396747371,23.8305396747371,23.8305396747371,..,..
Liechtenstein,LIE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Liechtenstein,LIE,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,96.221279822113,96.221279822113,96.221279822113,..,..
Lithuania,LTU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Lithuania,LTU,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,94.2752193358277,94.7933409114805,95.3067363442577,..,..
Luxembourg,LUX,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Luxembourg,LUX,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,95.142114078264,95.4702248551528,95.7982686479148,..,..
"Macao SAR, China",MAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
"Macao SAR, China",MAC,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,66.1080582771717,67.1150840157222,68.1221097542725,..,..
Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,32,35.1,36.1,39.4,..
Madagascar,MDG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,11.472310302694,11.8994336955018,12.3275082854017,..,..
Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.5,14.2,14,15.6,..
Malawi,MWI,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,42.0885850614481,44.1458199299325,46.1908099582339,..,..
Malaysia,MYS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Malaysia,MYS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,84.5144217485465,85.2519908254821,85.9685995536329,..,..
Maldives,MDV,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
